Amostra;D;Tamanho
1;12;50
2;15;50
3;8;50
4;10;50
5;4;50
6;7;50
7;16;50
8;9;50
9;14;50
10;10;50
11;5;50
12;6;50
13;17;50
14;12;50
15;22;50
16;8;50
17;10;50
18;5;50
19;13;50
20;11;50
21;20;50
22;18;50
23;24;50
24;15;50
25;9;50
26;12;50
27;7;50
28;13;50
29;9;50
30;6;50
31;9;50
32;6;50
33;12;50
34;5;50
35;6;50
36;4;50
37;6;50
38;3;50
39;7;50
40;6;50
41;2;50
42;4;50
43;3;50
44;6;50
45;5;50
46;4;50
47;8;50
48;5;50
49;6;50
50;7;50
51;5;50
52;6;50
53;3;50
54;5;50
