0,5 ;0,6 ;0,7 ;0,8 ;0,9 ;1,0 ;1,1 ;1,2 
14,322;12,297;11,234;14,304;10,802;13,484;13,103;16,764
9,962;11,333;14,709;13,861;11,311;12,542;12,192;14,879
10,267;12,53;13,679;17,18;10,426;12,961;11,263;17,738
13,267;8,307;15,276;16,487;17,754;10,173;11,864;17,507
10,96;10,926;12,294;14,288;10,201;12,192;16,724;24,478
10,18;12,21;14,759;14,861;11,786;12,612;13,103;16,764
11,16;12,29;13,679;17,022;11,121;10,173;12,192;14,879
10,278;11,333;15,216;14,121;10,456;12,255;11,263;17,738
14,212;12,53;11,294;15,304;12,213;13,179;11,864;18,507
10,119;10,307;11,294;15,861;10,802;13,525;13,724;18,278
10,28;10,93;12,287;17,18;11,311;10,173;12,119;19,049
13,467;10,322;13,689;16,887;10,426;13,879;13,103;17,738
9,96;11,451;12,255;14,288;12,754;12,525;12,192;17,507
10,57;8,406;13,879;14,861;10,201;10,173;11,263;18,278
13,127;12,296;12,525;16,217;10,936;12,349;11,864;20,325
14,12;12,429;11,234;16,304;11,567;12,541;13,103;19,738
13,109;11,433;14,709;13,861;10,802;10,173;12,192;17,507
14,125;12,223;13,679;17,18;11,311;13,879;11,263;18,258
11,221;8,707;15,171;16,487;13,426;12,525;11,864;24,121
13,19;11,926;13,445;14,611;16,754;12,173;12,724;16,241
12,17;11,035;11,834;13,861;10,601;11,795;12,992;16,984
13,19;11,219;14,709;15,6604;11,905;12,112;13,875;18,615
10,113;12,011;13,679;14,318;11,802;13,879;12,119;18,278
12,712;12,197;15,176;15,821;11,511;12,525;13,103;20,325
13,129;11,353;11,334;15,324;12,426;10,173;12,192;17,738
14,222;12,53;14,609;13,927;11,511;10,173;11,263;17,507
13,946;11,107;13,679;14,288;10,426;11,595;11,864;18,178
13,497;10,926;15,078;13,861;16,798;12,231;-;24,121
12,866;11,211;13,453;13,866;11,811;13,171;-;18,258
