0,5 ;0,6 ;0,7 ;0,8 ;0,9 ;1,0 ;1,1 ;1,2 
13,978;12,297;12,134;16,487;12,754;10,173;11,864;16,464
10,196;11,333;14,718;15,611;10,201;11,795;12,724;14,979
10,267;12,53;13,679;13,861;10,936;12,161;12,992;17,738
13,267;8,307;15,276;15,6604;11,567;13,484;13,8775;17,507
10,16;10,926;11,294;14,318;10,802;12,542;12,119;18,278
10,18;12,21;14,759;15,821;11,311;12,961;13,103;24,121
11,916;12,29;13,679;15,324;13,426;10,173;12,192;16,241
10,278;11,333;15,216;13,927;16,754;12,192;11,263;16,984
14,122;12,151;11,994;14,288;10,601;12,612;11,864;18,615
12,019;10,307;11,494;13,861;11,905;10,573;13,103;18,278
10,28;10,913;12,287;14,404;11,802;12,255;12,192;20,325
13,467;10,322;13,689;13,861;11,511;13,179;11,263;17,738
9,967;11,451;12,255;16,718;12,426;13,525;11,864;17,507
10,57;8,406;14,879;16,487;11,511;11,173;16,724;18,278
13,127;12,096;12,525;14,288;10,426;13,879;13,103;24,121
14,122;12,429;11,234;15,861;16,798;12,525;12,192;24,478
13,109;11,433;12,749;17,122;10,802;10,273;11,263;16,764
14,412;12,223;13,879;14,621;11,311;12,349;11,864;14,879
11,111;8,907;15,171;15,304;10,426;12,541;13,724;17,738
12,109;11,926;13,445;14,861;17,754;10,173;12,119;18,507
12,017;11,435;11,834;17,184;10,201;13,879;13,103;18,278
13,19;11,219;14,709;16,887;11,786;12,525;12,192;19,049
11,113;12,211;13,679;14,288;11,121;12,273;11,263;17,738
12,712;12,197;15,176;14,861;10,456;10,795;11,864;17,507
13,19;11,353;13,334;16,217;12,213;12,218;13,103;18,278
14,222;12,573;14,609;16,604;10,802;13,879;12,192;20,325
13,946;11,107;11,679;14,861;11,311;12,525;11,263;19,738
12,497;10,926;15,078;17,178;10,426;10,173;11,571;17,507
12,189;11,305;13,444;15,664;11,905;12,121;13,878;18,615
